annee,gov_latin,gouvernorat,nombre,superficie_ha
2011,Kebili,قبلي,0,0.0
2012,Tunis,تونس,0,0.0
2012,Ariana,أريانة,17,22.51
2012,Ben Arous,بن عروس,12,19.4
2012,Manouba,منوبة,5,14.55
2012,Nabeul,نابل,28,72.675
2012,Zaghouan,زغوان,26,92.45
2012,Bizerte,بنزرات,11,10.0
2012,Beja,باجة,20,161.7
2012,Jendouba,جندوبة,76,316.26
2012,Kef,الكاف,19,487.79
2012,Siliana,سليانة,36,831.03
2012,Kasserine,القصرين,35,24.32
2012,Sidi Bouzid,سيدي بوزيد,4,4.79
2012,Kairouan,القيروان,13,28.63
2012,Gafsa,قفصة,5,1.725
2012,Sousse,سوسة,1,2.0
2012,Sfax,صفاقس,1,2.0
2012,Mahdia,المهدية,0,0.0
2012,Monastir,المنستير,0,0.0
2012,Gabes,قابس,2,1.245
2012,Tozeur,توزر,0,0.0
2012,Tataouine,تطاوين,0,0.0
2012,Medenine,مدنين,0,0.0
2012,Kebili,قبلي,0,0.0
2013,Tunis,تونس,1,0.15
2013,Ariana,أريانة,21,67.658
2013,Ben Arous,بن عروس,0,0.0
2013,Manouba,منوبة,3,38.0
2013,Nabeul,نابل,16,111.329
2013,Zaghouan,زغوان,42,1036.0826
2013,Bizerte,بنزرات,34,734.525
2013,Beja,باجة,34,245.06
2013,Jendouba,جندوبة,28,47.2855
2013,Kef,الكاف,22,1257.52
2013,Siliana,سليانة,20,345.975
2013,Kasserine,القصرين,3,220.4289
2013,Sidi Bouzid,سيدي بوزيد,3,21.24
2013,Kairouan,القيروان,22,20.8275
2013,Gafsa,قفصة,1,0.025
2013,Sousse,سوسة,3,0.5375
2013,Sfax,صفاقس,0,0.0
2013,Mahdia,المهدية,0,0.0
2013,Monastir,المنستير,1,0.004
2013,Gabes,قابس,1,0.036
2013,Tozeur,توزر,0,0.0
2013,Tataouine,تطاوين,0,0.0
2013,Medenine,مدنين,0,0.0
2013,Kebili,قبلي,0,0.0
2014,Tunis,تونس,3,0.25
2014,Ariana,أريانة,28,94.705
2014,Ben Arous,بن عروس,54,141.346
2014,Manouba,منوبة,7,126.05
2014,Nabeul,نابل,41,150.411
2014,Zaghouan,زغوان,55,753.6465
2014,Bizerte,بنزرات,49,1198.7231
2014,Beja,باجة,72,439.695
2014,Jendouba,جندوبة,111,97.2645
2014,Kef,الكاف,32,1645.34
2014,Siliana,سليانة,48,1399.591
2014,Kasserine,القصرين,13,5.033
2014,Sidi Bouzid,سيدي بوزيد,1,25.0
2014,Kairouan,القيروان,21,17.897
2014,Gafsa,قفصة,4,1.5685
2014,Sousse,سوسة,12,18.486
2014,Sfax,صفاقس,0,0.0
2014,Mahdia,المهدية,3,0.87
2014,Monastir,المنستير,0,0.0
2014,Gabes,قابس,1,0.25
2014,Tozeur,توزر,0,0.0
2014,Tataouine,تطاوين,0,0.0
2014,Medenine,مدنين,0,0.0
2014,Kebili,قبلي,0,0.0
2015,Tunis,تونس,3,0.12
2015,Ariana,أريانة,10,4.608
2015,Ben Arous,بن عروس,0,0.0
2015,Manouba,منوبة,1,7.0
2015,Nabeul,نابل,24,13.1085
2015,Zaghouan,زغوان,24,18.045
2015,Bizerte,بنزرات,31,89.648
2015,Beja,باجة,28,50.046
2015,Jendouba,جندوبة,51,317.7105
