cell_id,acq_date,latitude,longitude,frp,t_max,h_mean,wind_max,ndvi,ndwi,confidence,precip_sum,elevation_m
2014341179,2026-09-05,36.83905,9.48941,3.78,34.1,46.0,18.7,0.112,-0.06,n,0.0,257.0
1076803095,2026-09-05,36.89576,9.4008,4.15,34.1,46.0,18.7,0.17,-0.041,n,0.0,320.0
2372948551,2026-09-05,36.89679,9.40474,6.01,34.1,46.0,18.7,0.184,-0.106,n,0.0,329.0
1355690626,2026-09-05,36.90005,9.3953,4.15,34.1,46.0,18.7,0.116,-0.056,n,0.0,385.0
3123610955,2026-09-05,35.16886,9.34402,1.82,31.4,46.0,19.4,0.221,-0.021,l,0.0,360.0
2595229043,2026-09-05,36.29641,9.19193,3.99,30.2,44.0,13.7,0.1,-0.139,n,0.0,437.0
2808377474,2026-09-05,36.30423,8.84794,1.7,35.5,44.0,15.8,0.109,-0.102,l,0.0,539.0
1031860898,2026-09-05,36.39418,9.17533,3.09,30.2,44.0,13.7,0.127,-0.083,n,0.0,564.0
2187959431,2026-09-05,36.74881,9.30885,3.49,34.1,46.0,18.7,0.13,-0.101,n,0.0,233.0
179557402,2026-09-05,36.80746,9.38069,6.34,34.1,46.0,18.7,0.107,-0.079,h,0.0,307.0
4155494868,2026-09-05,36.80768,9.38614,6.34,34.1,46.0,18.7,0.105,-0.124,n,0.0,337.0
107109961,2026-09-05,36.84647,9.29242,3.43,34.1,46.0,18.7,0.125,-0.037,n,0.0,371.0
