latitude,longitude,acq_date,incendie,t_max,wind_max,precip_sum,h_mean,ndvi,ndwi
36.1581,10.2822,2016-10-31,1,22.5,11.6,0.0,66.25,0.214,-0.064
36.84780907016381,9.51754782327565,2019-05-04,0,16.5,29.4,6.0,75.25,0.672,0.285
35.77589,9.89245,2022-02-22,1,17.5,35.7,0.0,73.75,0.057,-0.105
35.85155,8.59206,2021-08-23,1,35.6,13.7,0.0,46.6,0.044,-0.153
36.54369,8.86014,2019-07-20,1,39.7,15.8,0.0,40.45,0.211,-0.1
36.03197709047597,9.55482449419253,2025-10-27,0,18.4,25.6,0.1,72.4,0.214,-0.057
36.27857288391947,10.33848078783759,2019-06-08,0,36.1,14.0,0.0,45.85,0.203,-0.135
37.05886200072525,9.909786175154622,2019-07-10,0,31.3,27.3,0.0,53.05,0.248,-0.104
36.50242,10.02739,2016-11-13,1,21.3,10.4,0.0,68.05,0.111,-0.143
31.64731,9.16945,2023-02-19,1,19.5,18.0,0.0,70.75,0.073,-0.091
35.9978254137968,9.520805808370175,2018-07-08,0,36.7,11.4,0.0,44.95,0.128,-0.153
37.113369029815416,9.175058351897295,2022-07-26,0,36.8,12.6,0.0,44.8,0.392,0.087
36.44634108519404,10.649056355345952,2022-06-10,0,28.2,30.4,0.0,57.7,0.152,-0.078
36.97179164397925,8.906759908571338,2021-06-16,0,35.5,30.1,0.0,46.75,0.613,0.144
36.50618567522689,8.272021051366174,2019-07-07,0,33.8,13.2,0.0,49.3,0.836,0.331
31.65176,9.16952,2024-01-18,1,24.0,19.9,0.0,64.0,0.069,-0.089
37.26885531592004,9.482063292966815,2016-07-12,0,30.9,10.5,0.0,53.650000000000006,0.247,-0.031
35.20577,11.10647,2024-12-21,1,16.2,25.2,0.0,75.7,0.084,0.048
31.40343,9.85383,2016-02-14,1,27.0,37.2,0.0,59.5,0.25,0.05
36.319158266049726,10.32311379174007,2025-08-07,0,34.8,17.9,0.0,47.8,0.13,-0.152
35.84947,8.59022,2016-05-18,1,27.0,12.0,0.8,59.5,0.153,-0.076
35.3239,8.82526,2020-06-20,1,26.2,21.7,0.0,60.7,0.247,-0.107
37.20602767194188,9.39826540093758,2018-08-03,0,31.2,13.1,0.0,53.2,0.589,0.028
36.26750238894553,10.334733838487145,2024-05-07,0,29.4,18.9,4.2,55.900000000000006,0.17,-0.084
36.61115261871806,10.794957593692567,2024-06-19,0,30.1,17.7,0.0,54.85,0.25,-0.04
35.41513,9.26019,2021-06-28,1,38.0,21.3,0.0,43.0,0.216,-0.101
36.03444,9.24275,2019-08-21,1,32.3,19.8,0.0,51.55,0.127,-0.126
